RekNr,Datum,Symbool,ISIN,Type optie,Expiratie,Strike,Valuta,Slotkoers,Aantal,Valutakoers,Contractgrootte,Waarde EUR,Waarde Orig Valuta,Aankoopwaarde,Type instrument,Binckcode,Titel instrument,
5,2019-12-31,AEX,,PUT,20-03-2020,520,EUR,"1,21",3,1,100,363,363,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2019-12-31,AEX,,PUT,19-06-2020,540,EUR,"7,24",3,1,100,2172,2172,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2019-12-31,TDT,NL0009272749,,31-12-1899,0,EUR,"60,5",3231,1,1,"195475,5","195475,5","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2019-12-31,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,516",2026,1,1,"65877,42","65877,42","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2019-12-31,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"54,43",1194,1,1,"64989,42","64989,42","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2019-12-31,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"54,408",1224,1,1,"66595,39","66595,39","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2019-12-31,EUR,,,31-12-1899,0,EUR,0,"59329,44",1,0,"59329,44","59329,44",0,,1234,,0
5,2020-01-01,,,,,,,,,,,"454802,17",,,,,,
5,2020-01-02,,,,,,,,,,,"454658,17",,,,,,
5,2020-01-03,,,,,,,,,,,"459582,35",,,,,,
5,2020-01-04,,,,,,,,,,,"459582,35",,,,,,
5,2020-01-05,,,,,,,,,,,"459582,35",,,,,,
5,2020-01-06,AEX,,PUT,20-03-2020,520,EUR,"1,05",3,1,100,315,315,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-06,AEX,,PUT,19-06-2020,540,EUR,"6,63",3,1,100,1989,1989,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-06,TDT,NL0009272749,,31-12-1899,0,EUR,"60,69",3231,1,1,"196089,39","196089,39","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-06,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,639",2026,1,1,"66126,61","66126,61","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-06,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"54,85",1194,1,1,"65490,9","65490,9","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-06,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"54,877",1224,1,1,"67169,45","67169,45","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-06,USD,,,31-12-1899,0,USD,0,"4,61","1,11939",0,"4,12","4,61",0,,0,,0
